[að] fokka	0.8	10
aðgerðasinni	7.0	12
aðildarsinni	7.4	10
æki	5.1	10
ærumeiðingar	8.22	9
afbrot	4.6	5
áfengissjúklingur	7.62	8
afturhaldsmenn	5.83	6
afturhaldsseggur	5.33	9
agabrot	7.38	8
ákæra	6.3	10
aktívisti	2.25	8
álas	5.33	6
alki	2.5	8
alkóhólisti	4.57	7
alltént	8.38	8
ambátt	7.45	11
amlóði	8.44	9
anarkisti	5.45	11
andskotinn	4.22	9
andstyggilegur	5.18	11
annarlegur	7.86	14
áreiti	5.62	13
áreitni	7.56	9
ásakanir	6.9	10
asnalegur	3.0	10
asni	2.43	7
athyglissjúkur	4.0	12
aulabárður	4.6	10
auli	3.33	12
aumingi	3.0	13
bæ	1.0	10
bandbrjálaður	4.62	13
bannfæra	7.3	10
bannfærður	7.57	7
barnalegur	3.6	10
beil	0.56	9
beila	0.25	12
belja	3.36	14
bíll	4.67	6
bíræfinn	6.82	11
bjánalegur	3.4	5
bjáni	3.75	8
blábjáni	4.4	10
bleyða	7.0	8
blindfullur	2.93	14
blondína	1.62	8
blygðun	7.38	13
blygðunarbrot	8.27	15
blygðunarkennd	7.5	14
blygðunarsemisbrot	9.0	7
bókstafstrúarmaður	5.9	10
bölvaður	4.73	11
borða	4.5	10
brennivínsdauður	5.71	7
brigsl	8.8	10
brjálaður	5.22	9
bröns	1.0	5
brúka	3.78	9
brundur	3.75	8
búfénaður	8.22	9
bullukollur	3.1	10
bumba	3.33	9
cancela	0.38	13
chilla	0.08	13
cool	0.41	17
dáinn	4.27	11
dándikvinna	7.12	8
dauður	3.67	9
deit	1.22	9
díses	0.0	10
dissa	1.5	10
djamm	1.4	15
djammari	1.33	9
djöfulæði	4.88	8
djöfullinn	2.25	8
dónakall	2.25	8
dónakarl	3.78	9
dónakjaftur	4.0	8
dóni	4.62	8
dóp	2.0	5
dópaður	2.77	13
dramb	7.91	11
dramblátur	7.75	8
drembinn	7.2	10
drepa	6.0	12
drukkinn	4.9	10
drulla	2.27	11
drullulatur	1.2	10
drullusokkur	2.38	8
drusla	2.0	9
durtur	5.55	11
dymbilvika	7.46	13
egóisti	4.7	10
einfeldningur	7.36	11
eiturlyf	5.5	18
e-mail	1.21	14
endaþarmsop	7.11	9
endaþarmur	6.27	11
eta	6.2	10
éta	2.09	11
fábjáni	4.12	16
fantur	4.3	10
fáráðlingur	6.0	8
fasískur	5.11	9
fasisti	4.71	7
fauti	6.14	7
fáviti	3.38	16
faxtæki	4.73	11
feitabolla	2.08	13
feitur	4.5	10
fífl	3.0	9
fíflagangur	4.22	9
fitubolla	1.56	9
fitumikill	5.11	9
flagari	5.89	9
flatbaka	6.22	9
flippa	0.62	16
flopp	1.0	9
forpokaður	7.14	7
fráleitt	5.7	10
frekja	3.78	9
frekjudolla	2.0	6
frekjudós	2.15	13
frekjuhundur	3.6	10
frík	0.78	9
fullur	4.08	12
fyllibytta	2.1	10
fyrirlitlegur	7.67	9
gæi	2.1	10
gáfaður	6.11	9
galið	3.64	11
gaur	2.14	14
geðsjúkdómur	6.38	13
geðsjúklingur	3.42	12
geðsjúkur	5.25	8
geðveiki	4.58	12
geðveikt	3.14	7
geggjað	1.71	7
gella	2.0	10
gerpi	3.4	10
glæpamaður	5.9	10
glæpon	1.88	16
glæpur	5.2	10
graður	3.13	15
grannur	5.25	8
grassera	2.89	9
gribba	4.08	12
grúbba	0.9	10
grúppa	1.18	11
gubba	2.3	10
guðlast	6.92	13
gugga	0.64	11
gúgla	0.67	3
gunga	3.9	10
hæ	1.5	8
hálfviti	3.27	11
haugafullur	1.83	12
hávaðaseggur	5.69	13
hávaði	4.8	15
heiðarlegur	6.25	8
heiðvirður	7.33	9
heigull	6.6	10
heimskingi	3.57	14
heimskulegur	4.0	15
heimskur	3.45	11
hellaður	0.45	11
helvískur	3.71	7
helvíti	4.73	11
hestur	4.62	13
hettumáfur	4.75	8
hjarðsveinn	8.58	12
hóf	6.67	12
holdugur	7.4	10
hóra	1.82	11
hræsnari	6.89	9
hrekkjusvín	4.89	9
hrokagikkur	7.1	10
hrottalegur	5.18	11
hugleysingi	6.69	13
hysterískur	4.91	11
illað	0.89	9
illgjarn	5.4	10
illkvittinn	6.25	12
illur	5.08	13
innblástur	5.73	15
jæja	3.36	11
jeppi	3.17	12
jungherra	9.0	4
kænn	7.23	13
karl	5.55	11
karlremba	5.42	12
kelling	1.25	12
kerling	4.18	11
kind	4.5	10
kjaftaskur	5.18	11
klikkaður	2.14	7
klókur	6.75	8
kófdrukkinn	5.0	10
kommenta	1.33	12
kóngur	4.36	11
konungur	6.0	13
kósí	1.62	8
krambúleraður	3.5	4
krankdómur	5.0	9
krankur	5.33	9
krónprins	6.77	13
krypplingur	4.88	8
kúka	1.82	11
kúkur	2.56	9
kúl	1.43	7
kunta	1.67	15
kvendi	5.25	8
kvenhatari	4.2	15
kvenvargur	6.4	10
kvikindi	4.64	11
kvinna	5.88	8
kynlífsvinna	6.71	7
kýr	5.5	6
læti	5.07	14
lafði	7.36	11
látinn	7.94	16
látún	7.36	11
lénsherra	8.23	13
letingi	4.3	10
liðleskja	8.25	8
ljótur	5.5	6
löns	0.5	10
