orð	óviðeigandiheitaeinkunn	atkvæði
áætlun	1.25	4
aðdáun	5.0	1
﻿aðildarsinni	2.4	5
aðsigling	0.0	2
aðstoðarfólk	0.0	3
ælingi	4.75	4
ærumeiðing	0.67	3
ærumeiðingarbrot	0.83	6
ærumorð	3.0	2
ættleiðing	0.0	2
ævisaga	0.0	1
afarljótur	4.6	5
afbragð	1.5	4
afbrjóta	4.0	2
afbrot	0.0	1
afburðamikill	3.33	3
afburðasnjall	0.0	1
afdæmingur	2.5	2
afdalavitleysingur	6.0	5
áfengisdauður	6.25	4
áfengislagabrot	1.67	3
áfengisvíma	0.33	3
afglapi	7.0	2
afhommun	10.0	4
afhrak	3.75	4
afhrapi	5.0	1
afklofi	5.0	2
aflagi	5.0	2
aflaki	5.0	1
áflogaseggur	3.25	4
afmæli	0.0	3
afneitunarsinni	3.25	4
afríkunegri	8.75	4
afsi	1.0	1
afskræmi	5.17	6
afskræmislegur	4.75	8
afskúm	1.5	2
afsnóp	5.0	1
afsökun	1.0	5
afstyrmi	3.0	2
aftaníossi	1.0	1
afturbatapíka	9.0	2
afturfótafætlingur	8.0	1
afturfótafiðrildi	5.5	2
afturfótakvikindi	0.0	1
afturhaldsmaður	3.5	4
afturhaldsseggur	2.6	5
afturhaldssinnaður	3.17	6
afturkreistingur	6.5	4
afturréttingur	3.0	3
afturúrstang	4.0	3
agabrot	0.33	3
ágangsseggur	0.0	1
agði	0.0	1
ágengnisseggur	6.5	2
akademía	0.0	5
ákæra	0.0	2
ákærandi	2.5	2
ákærður	0.0	3
ákæruatriði	0.0	3
ákærudómstóll	0.0	3
ákæruferli	1.11	9
ákærukviðdómur	5.83	6
ákæruliður	1.0	6
ákærumál	2.0	6
ákæruskali	1.0	2
aktívisti	5.0	2
ákvæði	0.0	3
álfaskapur	3.67	3
álfur	1.0	5
alkahólisti	3.67	6
alki	3.6	5
alldrukkinn	3.0	2
allölvaður	4.2	5
allsber	0.0	2
almannafærisbrot	0.0	1
ambinböðull	4.25	4
ambirna	1.0	2
amfetamín	2.14	7
anarkisti	0.0	3
andfasisti	4.0	2
andfemínisti	1.5	2
andgyðinglegur	5.67	3
andhælisskapur	10.0	1
andkristur	2.5	4
andsetinn	2.33	6
andskota	3.4	5
andskotakornið	5.0	3
andskoti	5.5	2
andstyggilegur	3.75	4
angilji	0.0	2
angurgapi	3.0	2
áni	3.0	2
annálaður	3.33	6
annar	0.83	6
annarlegur	1.0	2
annléri	6.25	4
ansvítans	3.2	5
apabýli	8.25	4
apaköttur	4.0	4
api	2.4	5
aplakálfur	5.0	1
apli	10.0	1
app	1.67	3
appelsínugulur	1.56	9
arabatrú	9.4	5
árásarnauðgun	4.5	4
árásarseggur	4.67	6
arðsamur	0.0	3
arðsemi	1.25	4
áreiti	2.0	1
áreitinn	5.4	5
áreitni	5.0	1
arghola	3.0	1
argintæta	2.5	2
argvítugur	7.5	2
ári	0.0	1
arkitekt	0.0	1
arlaki	0.0	1
árlaki	5.0	1
asna-	4.0	4
asnakjálki	4.0	2
asnalegur	2.0	5
asni	4.8	5
ástríðuglæpur	4.0	3
athyglissjúklingur	7.0	4
athyglissjúkur	3.0	1
atstyrmi	0.0	1
attans	5.33	3
átvagl	5.5	2
atvinnuhommahatari	8.0	1
augnablik	3.0	2
augnaráð	0.0	1
aukvisi	3.67	3
aula	6.5	2
aulabárður	5.0	4
aulaháttur	5.0	4
aulaskapur	0.0	1
aumingi	7.75	4
aumingja	5.5	2
aumingjahrollur	1.6	5
aumingjalegur	6.5	2
aumingjast	3.67	3
axarmorðingi	4.5	6
axarskaft	1.67	3
baðstofuræfill	7.67	3
bæjaryfirvald	0.0	5
bakkabróðir	5.0	1
balbamba	10.0	1
bálvondur	0.0	1
banani	4.29	7
bandbrjálaður	4.33	3
bankaður	4.25	4
bankahrun	2.5	4
bannfæra	0.0	2
bar	0.6	5
barbari	5.5	2
barnaaumingi	9.0	3
barnahatari	4.5	2
barnalegur	5.33	3
barnamorð	6.0	2
barnanauðgari	3.0	1
barnanauðgun	7.67	3
barnaníð	2.67	3
barnaníðingur	3.5	4
barnaníðsmál	2.4	5
barnapía	1.0	2
barnarán	0.0	2
barnsdráp	3.0	4
barnsmorð	3.5	2
barnsrán	0.0	1
barri	1.67	3
bátur	1.67	3
bavían	3.67	3
bedemi	5.0	3
beinasleggja	0.67	3
beinasni	4.5	4
bekkræfill	5.0	1
belja	3.5	2
beljaki	5.0	4
beljudjöfull	9.0	3
bensíntittur	6.5	2
besefi	3.5	2
besserwisser	3.33	3
beysinn	5.0	1
biða	0.0	1
bikkja	5.17	6
bíll	1.67	3
birna	2.5	4
bit	0.25	4
bjálfaskapur	6.67	3
bjálfi	6.5	2
bjána	5.5	4
bjánalegur	5.0	3
bjánapoppari	5.29	7
bjánaskapur	5.0	3
bjáni	2.67	3
blábjáni	4.0	1
blaðurskjóða	6.67	3
bláeygður	1.25	8
bláhosa	0.0	2
blína	0.0	1
blindfullur	4.25	4
blóðskömm	7.0	2
blóðugur	0.0	3
blokkaraaumingi	10.0	1
blómaskita	0.0	2
blondína	8.0	2
blöndulókur	3.8	5
blygðunarbrot	4.25	4
blygðunarsemisbrot	2.0	3
boddí	8.0	2
bófi	6.83	6
bogi	1.67	6
bók	2.14	7
bókarræfill	7.0	1
bokki	3.5	2
bókstafstrúarmaður	5.0	2
boldang	8.0	1
boljaki	10.0	1
bolla	4.8	5
bolli	0.83	6
böllur	6.5	2
bölva	3.0	4
bölvaður	2.67	6
bóndaræfill	5.0	3
bora	0.0	1
borga	0.0	1
borgari	1.0	5
borgaryfirvöld	2.5	2
borubelgur	4.33	3
bósi	5.0	1
bráðgáfaður	1.67	3
braggaræfill	7.25	4
brauð	3.0	6
bredda	4.33	6
breddi	4.0	2
brekánsræfill	8.0	1
brengla	0.0	2
brennivínsdauður	2.67	3
brikk	7.0	1
brikki	0.5	2
brjál	3.25	4
brjála	1.67	3
brjálaður	1.67	3
broðháfur	5.0	1
bróðurmorð	7.5	2
brúða	2.5	6
bruði	8.5	2
brúnhærður	2.5	2
brussa	7.0	1
bryðja	0.0	3
búðarræfill	6.75	4
budda	5.0	2
bulla	1.5	4
bullari	4.0	2
bullukeli	4.0	2
bullukeri	5.0	1
bullukolla	3.0	6
bullukollur	4.4	5
bullustampur	10.0	1
bullustrokkur	5.0	1
bumba	2.2	5
bumbla	2.5	2
búri	3.0	2
busilkinna	2.5	2
buska	4.0	2
busla	0.0	2
bússinn	4.25	4
bústinn	6.0	1
buxnaræfill	8.0	2
buxnaskjóni	6.0	2
buxur	0.5	2
byrla	5.0	1
byssa	1.0	1
byssuárás	4.0	8
byssuglæpur	0.33	3
byssuræfill	1.0	1
bytta	4.5	2
case	0.0	1
daðurdrós	6.29	7
dækja	8.0	1
dagskrá	0.0	3
dalur	1.75	4
dáraskapur	5.0	1
dári	6.5	2
darri	4.0	3
dasi	5.0	3
dauðablóð	0.0	1
dauðadrukkinn	3.5	4
dauðarefsing	2.67	3
dauðasök	0.0	2
dauði	0.0	2
Dauði og djöfull	5.0	3
dauðyfli	4.17	6
daufingi	7.0	1
deiliskipulag	1.0	2
dekurdrjóli	3.0	1
deli	5.0	4
dellumakari	9.0	2
dettiklessa	4.6	5
digga	4.8	5
dilla	2.0	2
dindilhosi	5.5	4
dingla	2.0	5
djammari	2.67	3
djöfla	3.8	5
djöflaæði	3.5	4
djöflabarn	8.6	5
djöflakollur	7.0	2
djöflatrú	2.0	1
djöfulæði	5.0	1
djöfuldómur	3.0	6
djöfulgangur	3.0	2
djöfulinn	2.83	6
djöfull	3.75	4
djöfullegur	5.0	3
djöfullinn	7.5	2
djöfulóður	5.0	3
djöfulsins	3.0	1
djöfulskapur	2.6	5
dofningi	7.33	3
dofrungur	0.0	1
dögun	2.5	2
dólgur	2.5	2
dolifer	6.33	3
dólpungur	5.0	3
dólpur	7.5	2
dómari	0.5	2
dómsmálaráðuneyti	0.0	5
dómsmorð	3.0	4
dónakall	4.0	3
dónakarl	4.0	2
dónalegur	0.4	5
dónapeysa	2.75	4
dónatal	0.0	2
dóni	2.17	6
dópa	4.57	7
dópaður	0.0	1
dópisti	5.6	5
dópsmygl	0.67	3
downsari	10.0	2
drabba	3.0	3
drægja	10.0	1
dræsa	8.4	5
dráp	4.0	2
draumkunta	10.0	2
dreifbýlistútta	0.0	1
dréli	9.0	1
drellir	5.0	3
drembildrútur	8.5	2
drembildrylla	10.0	1
drembinn	5.0	2
drengdjöfull	6.71	7
drengræfill	6.45	11
drep	1.0	6
drepa	0.75	4
drjólhakkari	1.5	2
drjóli	4.67	3
drógla	8.0	2
drolla	2.75	4
drollari	4.8	5
drós	5.25	4
drösulmenni	4.67	3
drottinssvik	6.0	1
dröttólfur	2.33	3
dröttull	4.0	2
dröttungur	4.5	4
drubbi	6.0	1
drukkinn	0.0	1
drull	5.2	5
drulla	3.67	3
Drullu-	7.0	1
drulludeli	10.0	1
drulludrýja	6.0	1
drulluháleisti	8.4	5
drulluháleistur	6.0	2
drulluhræddur	0.0	1
drullulurkur	0.0	2
drullupirraður	3.67	3
drullusokkur	6.8	5
drullutussuskuð	10.0	2
drumbahlussa	8.67	3
drumbur	1.25	4
drundi	5.0	3
drundurhjassi	10.0	1
drusill	7.5	2
drusla	5.0	3
druslubaggi	7.0	1
druslubusla	7.5	2
drussi	8.0	3
drútur	2.5	2
drykkjudólgur	3.0	2
drykkjudömp	5.0	4
drykkjuræfill	4.67	6
drykkur	0.0	2
drylla	5.0	2
drymbildrútur	3.5	2
drymbini	10.0	1
drýsildjöfull	5.5	2
dubba	5.0	2
duddari	5.0	1
duddi	5.0	1
dúði	0.0	1
duðra	4.67	3
duglegur	0.6	5
dumma	2.5	2
durgur	5.5	2
durni	3.5	4
durtur	3.5	2
dusilmenni	5.5	2
dúsungur	8.0	3
dvergur	0.0	1
dyntirófa	2.75	4
dyntrófa	9.0	1
dyrgja	5.0	1
efahyggjumaður	4.0	5
eflingur	1.67	3
efnhagsbrot	0.4	5
efni	1.75	4
efnishyggjumaður	3.33	3
eggjunarfífl	4.6	5
egóisti	4.67	3
eiginhagsmunaseggur	3.5	4
eignarhaldsfélag	2.0	1
eilífðarbrot	1.29	7
einangrunarsinni	4.6	5
eineltisfórnarlambið	0.0	2
einfeldni	0.0	1
einfeldningur	0.0	1
einræðisseggur	3.88	8
einstakur	0.0	1
eiturkveita	7.0	3
eiturlyfjabrot	3.5	2
eiturnaggur	6.33	3
eiturnagli	3.67	3
eksnikerling	5.5	2
eldaskita	5.0	4
eldflaug	1.67	3
embættisbrot	0.0	1
embættismaður	0.5	4
endaþarmur	5.0	2
endurákæra	1.43	7
endurskinsmerki	0.0	3
endurskipulagning	1.67	3
epalhommi	7.25	4
epli	0.0	3
erkidjöfull	6.75	4
erkifífl	8.0	2
erkiflón	4.4	5
erkiheimskingi	7.33	3
erkiræfill	6.2	5
eskimói	6.2	5
éttu skít	7.8	10
eyðsluseggur	10.0	1
fábjánaháttur	5.25	4
fábjáni	7.33	3
faðir	0.0	4
fæðingarhálfviti	9.5	2
faggalegt	10.0	4
faggi	8.0	3
fáir	0.0	2
fáki	1.25	4
fákur	0.0	4
fála	0.0	1
fálki	5.0	1
fallegur	0.0	1
fangauppreisn	2.5	2
fangelsa	1.2	5
fangelsisdómur	1.6	5
fangelsisóeirðir	2.5	4
fangelsisrefsing	2.5	2
fangelsisuppreisn	0.5	6
fangelsisvist	1.25	4
fangelsun	0.0	2
fáni	0.0	4
fantur	2.5	2
fáráðlingsháttur	5.67	3
fáráðlingsskapur	8.67	3
fáráðlingur	7.0	3
fáránlegur	0.0	1
farðu í hoppandi hærusekk	5.29	7
farðu í hurðalaust helvíti	5.0	3
farðu í rass	8.75	4
farðu í rassgat	9.0	3
farðu norður og niður	0.0	1
farðu til fjandans	7.33	6
fásinna	1.0	2
fasískur	4.75	4
fasisti	5.0	2
fatabuska	5.5	2
fátæklingsræfill	8.8	5
fatalúði	10.0	1
fatlaður	5.0	4
fausi	5.0	2
fauskur	3.0	3
fauti	0.0	1
fávísi	3.33	3
fávit	6.6	5
fávitaskapur	6.0	2
fáviti	5.67	6
féhirðir	1.67	6
feita	6.0	2
feitabolla	8.5	2
félagaskiptagluggi	4.0	4
félagsheimili	0.0	2
félagslyndur	0.0	3
feministi	1.0	3
femínisti	2.75	4
féníðingur	7.0	1
fenja	0.0	2
ferðafuða	3.75	4
ferja	2.5	4
ferli	1.25	4
ferlíki	0.0	2
festa	0.0	2
fettirófa	5.0	1
fiðafita	5.0	1
fífl	4.5	4
fíkn	4.0	2
fíknefnabrot	1.4	5
fíkniefnabrot	2.4	5
fíkniefnaglæpur	8.5	2
fíkniefnaneysla	2.75	4
fimbulfambi	0.67	3
finna	0.0	2
fitubolla	8.14	7
fitubolti	6.67	3
fituhlunkur	8.0	6
fitukeppur	3.4	5
fjall	0.0	6
fjanda	2.5	2
fjandakorn	3.0	1
fjandinn	5.33	3
fjárdráttarákæra	0.5	4
