orð	samheiti	samþykkt	hafnað
60 sekúndur	mínúta	2	0
aðili	manneskja	4	2
aðili	félagi	2	1
aðili	þátttakandi	1	1
aðili	maður	4	2
aðili	persóna 	4	0
aðili	fyrirtæki	1	4
aðili	manneskja 	3	3
aðili	einstaklingur	7	1
aðili	hlutdeildarmaður	7	0
aðili	hlutaðeigandi 	3	1
aðstoða	hjálpa	1	0
ætla	plana	1	1
ætla	stefni að	3	0
ætla	mun	0	1
ætla	að fara 	1	8
afhenda	skila	6	1
afhenda	droppa	2	3
afhenda	færa	2	1
afhenda	gefa	4	1
afhenda	láta fá	5	0
afhenda	veita	4	1
afhenda	skila af sér	0	2
afhenda	rétta	2	1
aflífa	drepa	3	0
aflífa	stúta	5	0
aflífa	slátra	2	1
aflífa	kála	7	1
aflífa	myrða	3	1
afllífa	deyða	2	0
afllífa	murka	1	0
afllífa	myrða	1	1
afllífa	deyja	0	1
afllífa	drepa	2	0
aftan	kvöld	5	2
ágirnast	vilja	0	2
áhugamaður	amatör	2	0
aldin	ávöxtur	0	1
aldraður	gamall	4	0
aldraður	hrumur	2	0
álit	skoðun	2	0
álita	telja	1	0
álita	hugsa	0	2
álíta	trúa	1	0
álíta	halda	3	0
álíta	þykja	1	0
álíta	telja	1	0
álíta	finnast	2	0
alþekktur	heimsfrægur	2	0
andast	deyja	3	0
annálaður	þekktur	2	0
annálaður	alræmdur	1	0
ár	jarðarhringur	0	1
árás	atlaga	1	0
arka	labba	1	0
arka	feta	0	1
armur laganna	lög og regla	0	3
armur laganna	lagakerfið	0	1
armur laganna	löggann	1	1
armur laganna	lögin	1	1
áskotnast	komast yfir	3	0
áskotnast	hljóta	3	0
áskotnast	fá	6	0
áskotnast	öðlast	1	0
áskotnast	hlotnast	2	0
áskotnast	eignast	8	0
átök	rifrildi	1	2
átök	stríð	2	1
átök	ágreiningur 	1	0
átök	áflog	1	0
átök	slagsmál	0	1
atorkusamur	velvirkur	0	1
atorkusamur	duglegur	2	0
atorkusamur	ötull	1	0
auður	peningur	3	0
auður	ríkidæmi	10	0
aur	seðill	0	1
aur	peningur	4	0
aur	mynt	0	2
aur	fjármagn	3	0
aur	monnís	1	0
aur	gjaldmiðill	1	0
aur	auður	3	3
aurar	klink	1	1
bæta	endurbæta	4	2
bæta	auðga	6	1
bæta	efla	3	2
bæta	betrumbæta	3	0
banki	peningastofnun	5	0
banki	fjármálafyrirtæki	5	2
banki	fjármálastofnun	1	0
banki	lánastofnun	7	1
barn	kríli	6	0
barn	ungi	4	1
barn	smábarn	4	2
barn	ungviði	2	1
barn	kornabarn	3	3
barn	krakki	10	0
barn	afkvæmi	3	0
barn	gríslingur	3	1
barn	smákrakki	4	1
barn	rollingur	2	0
benda	vekja athygli á	6	1
benda	flækja	3	4
benda á	skýra	3	5
benda á	útskýra	4	2
benda á	láta vita	2	2
bifreið	bíll	8	0
bifreið	sjálfrennireið	6	0
bíll	dreki	1	2
bíll	kaggi	7	1
bíll	drusla	4	2
bíll	sjálfrennireið	6	0
bíll	ökutæki	10	0
bíll	bifreið	12	0
bílræfill	skrjóður	3	0
bílræfill	hræ	2	1
bílræfill	bíll	2	2
bílræfill	flak	1	1
bílræfill	drusla	4	1
birta	sýna	3	1
